,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price
Year,STATE,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2023,NJ,"5,030,514","28,414,871","3,702,963",17.7,"5,052,059","36,082,758","539,427",14,"727,181","6,223,834","11,246",11.68,"45,899","375,476",8,12.22,"10,855,653","71,096,939","4,253,644",15.27
2023,NM,"1,015,785","7,336,277","928,216",13.85,"998,732","9,349,407","147,632",10.68,"670,790","11,661,806","9,339",5.75,0,0,0,0,"2,685,307","28,347,490","1,085,187",9.47
2023,NV,"2,251,643","13,508,820","1,288,498",16.67,"1,472,654","12,366,846","174,042",11.91,"1,280,856","12,366,508","4,784",10.36,916,"7,181",1,12.75,"5,006,069","38,249,355","1,467,325",13.09
2023,NY,"11,147,682","50,113,258","7,384,444",22.25,"12,866,330","71,422,184","1,180,841",18.01,"1,042,211","15,173,534","7,178",6.87,"425,812","2,712,960",8,15.7,"25,482,035","139,421,936","8,572,471",18.28
2023,OH,"7,646,822","49,713,538","5,110,814",15.38,"4,984,353","46,351,291","624,926",10.75,"3,554,411","50,545,890","19,087",7.03,"1,788","30,264",2,5.91,"16,187,373","146,640,983","5,754,829",11.04
2023,OK,"2,877,138","23,817,506","1,857,151",12.08,"2,158,268","23,117,487","304,896",9.34,"1,379,920","22,043,847","19,874",6.26,0,0,0,0,"6,415,326","68,978,840","2,181,921",9.3
2023,OR,"2,603,098","20,444,544","1,843,683",12.73,"2,290,636","23,084,137","244,410",9.92,"1,085,221","14,433,651","26,545",7.52,"2,583","22,630",2,11.41,"5,981,538","57,984,962","2,114,640",10.32
2023,PA,"9,472,222","52,327,643","5,516,157",18.1,"4,033,022","35,802,263","735,043",11.26,"3,886,297","50,146,824","15,565",7.75,"44,336","434,263",5,10.21,"17,435,877","138,710,993","6,266,770",12.57
2023,RI,"809,152","2,995,162","450,190",27.02,"645,446","3,650,574","60,297",17.68,"119,383","628,838","1,606",18.98,"4,532","26,214",1,17.29,"1,578,513","7,300,788","512,094",21.62
2023,SC,"4,228,055","30,898,329","2,518,272",13.68,"2,618,036","25,193,823","410,802",10.39,"1,677,090","25,110,033","3,634",6.68,0,0,0,0,"8,523,181","81,202,185","2,932,708",10.5
2023,SD,"646,524","5,245,819","426,548",12.32,"511,213","5,032,841","77,048",10.16,"258,552","3,227,339","4,237",8.01,0,0,0,0,"1,416,289","13,505,999","507,833",10.49
2023,TN,"5,041,363","41,350,567","3,106,778",12.19,"4,139,606","35,094,425","531,644",11.8,"1,407,569","22,601,013","1,013",6.23,0,0,0,0,"10,588,538","99,046,005","3,639,435",10.69
2023,TX,"24,388,838","168,610,875","12,257,008",14.46,"14,629,032","165,791,834","1,589,559",8.82,"10,440,918","158,248,978","344,534",6.6,"12,312","168,698",3,7.3,"49,471,100","492,820,385","14,191,104",10.04
2023,UT,"1,268,526","11,328,264","1,244,066",11.2,"1,134,662","13,337,953","142,545",8.51,"602,610","8,622,963","10,719",6.99,"6,678","54,357",1,12.28,"3,012,476","33,343,537","1,397,331",9.03
2023,VA,"6,145,511","43,095,838","3,615,939",14.26,"6,604,437","73,807,035","441,468",8.95,"1,353,014","15,176,022","3,673",8.92,"24,958","239,610",1,10.42,"14,127,919","132,318,505","4,061,081",10.68
2023,VT,"453,095","2,176,314","322,405",20.82,"342,606","1,903,595","62,485",18,"144,712","1,284,114",257,11.27,0,0,0,0,"940,413","5,364,023","385,147",17.53
